name	accession	samplingDate	location
hCoV-19/Singapore/11/2020|EPI_ISL_410719|2020-02-02	EPI_ISL_410719	2020-02-02	Singapore
hCoV-19/Fujian/8/2020|EPI_ISL_411060|2020-01-21	EPI_ISL_411060	2020-01-21	ChinaFujian
hCoV-19/Fujian/13/2020|EPI_ISL_411066|2020-01-22	EPI_ISL_411066	2020-01-22	ChinaFujian
hCoV-19/France/IDF-0571/2020|EPI_ISL_411218|2020-02-02	EPI_ISL_411218	2020-02-02	France
hCoV-19/France/IDF-0386-islP1/2020|EPI_ISL_411219|2020-01-28	EPI_ISL_411219	2020-01-28	France
hCoV-19/Cambodia/0012/2020|EPI_ISL_411902|2020-01-27	EPI_ISL_411902	2020-01-27	Cambodia
hCoV-19/Jiangsu/JS01/2020|EPI_ISL_411950|2020-01-23	EPI_ISL_411950	2020-01-23	ChinaJiangsu
hCoV-19/Sweden/01/2020|EPI_ISL_411951|2020-02-07	EPI_ISL_411951	2020-02-07	Sweden
hCoV-19/Jiangsu/JS02/2020|EPI_ISL_411952|2020-01-24	EPI_ISL_411952	2020-01-24	ChinaJiangsu
hCoV-19/Jiangsu/JS03/2020|EPI_ISL_411953|2020-01-24	EPI_ISL_411953	2020-01-24	ChinaJiangsu
hCoV-19/USA/CA-CDC-7/2020|EPI_ISL_411954|2020-02-06	EPI_ISL_411954	2020-02-06	USA
hCoV-19/USA/CA-CDC-8/2020|EPI_ISL_411955|2020-02-10	EPI_ISL_411955	2020-02-10	USA
hCoV-19/USA/TX1/2020|EPI_ISL_411956|2020-02-11	EPI_ISL_411956	2020-02-11	USA
hCoV-19/Hefei/2/2020|EPI_ISL_412026|2020-02-23	EPI_ISL_412026	2020-02	ChinaAnhui
hCoV-19/Hong_Kong/VM20001061-2/2020|EPI_ISL_412028|2020-01-22	EPI_ISL_412028	2020-01-22	ChinaHongKong
hCoV-19/Hong_Kong/VB20024950-2/2020|EPI_ISL_412029|2020-01-30	EPI_ISL_412029	2020-01-30	ChinaHongKong
hCoV-19/Hong_Kong/VB20026565-2/2020|EPI_ISL_412030|2020-02-01	EPI_ISL_412030	2020-02-01	ChinaHongKong
hCoV-19/England/09c/2020|EPI_ISL_412116|2020-02-09	EPI_ISL_412116	2020-02-09	UK
hCoV-19/Jingzhou/HBCDC-HB-01/2020|EPI_ISL_412459|2020-01-08	EPI_ISL_412459	2020-01-08	ChinaHubei
hCoV-19/USA/CA-CDC-9/2020|EPI_ISL_412862|2020-02-23	EPI_ISL_412862	2020-02-23	USA
hCoV-19/South_Korea/KCDC05/2020|EPI_ISL_412869|2020-01-30	EPI_ISL_412869	2020-01-30	SouthKorea
